Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
2022-11-14,N,Florida,SEC,Florida Atlantic,H,"L, 76-74",105.1,93.9,75.7,97.8,44.1,15.9,27.9,25,100.4,51.4,11.9,15,10.1,78.6,0
2022-11-14,N,Denver,Sum,Sacramento St.,H,"L, 73-69",98.4,109.7,67.8,101.8,51.9,19.2,24.1,31.5,107.6,56.5,22.1,33.3,33.3,22.1,2
2022-11-14,N,Boston College,ACC,Maine,H,"L, 69-64",90.9,114.7,66.1,96.9,45.7,9.1,21.6,32.8,104.4,49.1,16.6,26.5,25.9,6.4,-6
2022-11-14,N,Chicago St.,ind,IUPUI,H,"W, 68-58",91.5,105.2,62.9,108.2,55.8,20.7,37,30.8,92.3,40.5,19.1,36.8,25.9,16.9,2
2022-11-14,N,Portland,WCC,Kent St.,A,"L, 77-65",89.7,97.3,77.2,84.2,51,35,30.3,49,99.7,52.4,18.1,26.5,30.2,28.3,-10
2022-11-14,N,Illinois Chicago,MVC,Jacksonville St.,H,"W, 67-60",85.7,80.5,76.7,87.3,40.9,22.2,22.7,56.4,78.2,40.6,24.8,26.8,15.6,67.1,6
2022-11-14,N,Miami OH,MAC,Georgia,A,"L, 77-70",97.5,110.2,71.5,97.9,50.9,22.4,25,21.1,107.7,45.7,25.2,48.6,51.7,19.6,-9
2022-11-14,N,Delaware St.,MEAC,Villanova,A,"L, 60-50",97.8,90.7,57.4,87.1,51.1,24.4,16,8.9,104.6,42.4,10.5,20,54.3,70.4,2
2022-11-14,N,Hawaii,BW,Yale,H,"L, 62-59",86.5,81.5,64.8,80.9,37.3,23.3,40,19.4,85.1,39.8,11,14.6,25,66.6,1
2022-11-14,N,North Carolina Centr,MEAC,Liberty,A,"L, 79-63",100.1,114.4,65.8,95.8,51.9,19.8,16.1,25,120.2,61.5,16.7,32.3,11.5,17.7,-15
2022-11-14,N,South Carolina St.,MEAC,Duquesne,A,"L, 96-71",97.7,125.8,73.9,96.1,42.5,19,40,35.8,129.9,54.7,14.9,51.1,35.1,5.2,-18
2022-11-14,N,Houston,Amer,Oral Roberts,H,"W, 83-45",122.5,65.8,67,123.9,56.9,17.9,46.9,43.1,67.2,29,16.4,26,24.2,99.9,18
2022-11-14,N,Central Arkansas,ASun,Little Rock,H,"W, 82-71",91.9,92.3,80.1,102.4,52.2,25,39.5,17.4,88.6,42.6,21.2,32.6,29.4,48.7,7
2022-11-14,N,Monmouth,CAA,Illinois,A,"L, 103-65",90.4,123.2,78.7,82.6,49,30.5,17.2,46.9,130.9,71,22.9,40.7,32.3,2.8,-24
2022-11-14,N,Penn St.,B10,Butler,H,"W, 68-62",105.1,92.4,69.5,97.8,54.2,15.8,12.1,8.5,89.2,38.1,7.2,16.3,17.9,81.5,6
2022-11-14,N,Texas A&M Commerce,Slnd,Air Force,A,"W, 73-69",98.4,89.9,67,96.8,49.2,22.5,29.3,36.1,91.5,50.9,21.2,18.9,49.1,74,1
2022-11-14,N,Yale,Ivy,Hawaii,A,"W, 62-59",90,84,64.8,85.1,39.8,11,14.6,25,80.9,37.3,23.3,40,19.4,69,-1
2022-11-14,N,Baylor,B12,Northern Colorado,H,"W, 95-62",107.4,81.7,79.6,119.3,60,12.6,25.7,22.9,77.9,46.4,30.1,16.2,25,95.9,13
2022-11-14,N,Northern Colorado,BSky,Baylor,A,"L, 95-62",85.9,96.9,79.6,77.9,46.4,30.1,16.2,25,119.3,60,12.6,25.7,22.9,20,-13
2022-11-14,N,Tennessee St.,OVC,Alabama A&M,H,"W, 87-76",106.2,104.1,79.5,109.5,56.3,18.9,28.6,36.5,95.6,49.2,25.2,35.1,29.7,55.6,9
2022-11-14,N,DePaul,BE,Minnesota,A,"W, 69-53",108.9,86.9,62.9,109.8,49.2,22.3,52.6,12.5,84.3,37,20.7,33.3,42.6,93.1,8
2022-11-14,N,Liberty,ASun,North Carolina Centr,H,"W, 79-63",127.2,97.4,65.8,120.2,61.5,16.7,32.3,11.5,95.8,51.9,19.8,16.1,25,95.5,15
2022-11-14,N,College of Charlesto,CAA,Richmond,H,"W, 92-90",116.7,107.9,73.4,111.4,51.4,15.7,31.8,33.3,108.9,53.2,18.2,22.9,42.9,71,9
2022-11-14,N,Navy,Pat,Coppin St.,A,"L, 75-68",86.5,113.9,70.8,96.1,56.4,28.3,31.2,21.8,106,47.5,15.5,27.5,42.4,4.1,-7
2022-11-14,N,Mississippi Valley S,SWAC,Eastern Washington,N,"L, 60-52",81.2,84.4,64.8,80.3,40.9,18.5,18.9,20,92.6,44.7,27.8,38.2,55.3,38.9,0
2022-11-14,N,Charlotte,CUSA,Maryland Eastern Sho,H,"W, 80-47",117.6,81.6,68.1,117.5,64.7,19.1,21.7,33.3,69,32.7,22,13.5,28.8,98.5,16
2022-11-14,N,Santa Clara,WCC,Utah St.,A,"L, 96-74",103.2,105.6,78.8,93.9,45.4,16.5,21.4,32.3,121.8,60,11.4,22.9,22.9,43.5,-10
2022-11-15,N,Loyola Marymount,WCC,UC Irvine,A,"L, 79-64",97.4,110.4,69.4,92.2,44.5,18.7,25.7,40,113.8,52.5,11.5,27.8,36.1,19.2,-11
2022-11-15,N,UNLV,MWC,Dayton,H,"W, 60-52",87.6,76.7,68.8,87.2,46.1,24.7,23.5,43.1,75.6,45.5,34.9,27.6,34.1,82.3,-3
2022-11-15,N,Cal Baptist,WAC,Cal St. Northridge,H,"W, 62-55",87,97.3,65.4,94.8,41.1,12.2,30.4,30.6,84.1,44.5,21.4,21.2,14.5,21.5,-1
2022-11-15,N,Florida A&M,SWAC,Miami FL,A,"L, 87-61",93.6,102.8,71,86,52.8,31,31,17,122.6,58.3,14.1,34.4,21.2,25.3,-8
2022-11-15,N,Xavier,BE,Fairfield,H,"W, 78-65",98.4,99.8,73.8,105.7,58.8,23,32.3,35.1,88.1,41.8,19,23.7,27.9,46,1
2022-11-15,N,Stony Brook,CAA,Rhode Island,A,"L, 74-64",100.9,117.3,66,97,41.7,10.6,16.7,42.6,112.2,51.8,15.2,30.3,33.3,14.9,-4
2022-11-15,N,Wright St.,Horz,Bowling Green,H,"W, 80-71",94.9,95.3,77.1,103.8,55.8,19.5,22.6,30,92.1,42.8,16.9,27.3,23.2,48.7,4
2022-11-15,N,Mercer,SC,Georgia St.,A,"L, 85-83",103.5,113.4,70.4,104.7,55.1,21.5,35.5,52.5,107.3,46.2,15.1,31.7,43.9,25.8,-1
2022-11-15,N,Binghamton,AE,Maryland,A,"L, 76-52",81.6,103.6,68.2,76.3,37.7,22,29.5,19.7,111.5,51.6,10.3,30.6,25,6,-18
2022-11-15,N,Memphis,Amer,Saint Louis,A,"L, 90-84",107.9,108.7,78.2,107.4,46.4,12.8,34.1,37.1,115.1,52.5,14.1,27.3,60,47.9,-7
2022-11-15,N,Maryland,B10,Binghamton,H,"W, 76-52",106.9,79.9,68.2,111.5,51.6,10.3,30.6,25,76.3,37.7,22,29.5,19.7,96.6,18
2022-11-15,N,Morehead St.,OVC,West Virginia,A,"L, 75-57",90.8,90.3,70.9,80.4,44,28.2,20,30,105.8,50,14.1,25,25.8,51.8,-6
2022-11-15,N,Green Bay,Horz,Wisconsin,A,"L, 56-45",81.1,90.7,61,73.8,36.4,14.8,9.1,52.3,91.8,37.7,23,40.5,35.8,21.8,-8
2022-11-15,N,Chattanooga,SC,Mississippi,A,"L, 70-58",96.9,101.7,64.8,89.5,44.8,18.5,25,17.2,108,56.8,23.1,40,10.2,36.6,-3
2022-11-15,N,Georgetown,BE,Northwestern,H,"L, 75-63",105.7,105.3,67.7,93,48.2,19.2,20,17.5,110.7,50.7,22.1,45.5,17.9,51,-3
2022-11-15,N,Central Connecticut,NEC,St. John's,A,"L, 91-74",119.2,123,69,107.3,59.6,17.4,14.3,15.8,131.9,60.9,10.1,38.2,17.4,41.1,-5
2022-11-15,N,San Jose St.,MWC,Alabama St.,H,"W, 70-57",98.2,107.7,63.8,109.8,55.9,20.4,46.2,51,89.4,38.5,7.8,27.3,21.3,25.6,2
2022-11-15,N,Cal St. Northridge,BW,Cal Baptist,A,"L, 62-55",90.6,91.6,65.4,84.1,44.5,21.4,21.2,14.5,94.8,41.1,12.2,30.4,30.6,46.9,1
2022-11-15,N,Stephen F. Austin,WAC,Alcorn St.,H,"L, 69-60",82.1,100.4,70.9,84.6,43.5,29.6,35.9,42.6,97.3,49.1,28.2,46.9,42.6,9,-3
2022-11-15,N,Louisville,ACC,Appalachian St.,H,"L, 61-60",88.7,103.3,65.3,91.9,46.7,27.6,31.2,50,93.4,42.1,10.7,23.8,19,14.7,-9
2022-11-15,N,UNC Wilmington,CAA,Oklahoma,A,"L, 74-53",93.3,115.1,61.1,86.7,36.8,11.5,25.6,28.1,121.1,63.3,19.6,30.8,32.7,8.1,-15
2022-11-15,N,New Mexico,MWC,SMU,A,"W, 84-63",111.7,83.7,76.4,109.9,56.8,13.1,16.1,42.4,82.4,40.6,19.6,25,29.7,96.5,10
2022-11-15,N,Texas Southern,SWAC,Oral Roberts,H,"L, 82-64",99.9,103.7,69.7,91.8,37.8,10,34.7,16.2,117.6,52.1,11.5,36.6,13.9,39.3,-1
2022-11-15,N,Purdue,B10,Marquette,H,"W, 75-70",117.1,96.1,66.4,112.9,56.2,9,20,32.1,105.4,45.1,12,34.1,9.7,90.6,-2
2022-11-15,N,Gardner Webb,BSth,North Carolina,A,"L, 72-66",100,96,70.9,93.1,46.8,15.5,20.5,15.9,101.6,45,14.1,23.1,35,61.8,-6
2022-11-15,N,Vanderbilt,SEC,Temple,A,"W, 89-87",127.9,115.4,64.5,122.6,60.7,12.4,30.6,15.7,119.9,60,16.5,29.7,38.3,76.5,0
2022-11-15,N,Kentucky,SEC,Michigan St.,N,"L, 86-77",102.8,91.6,67.3,91.5,43.6,17.8,29.3,34.3,102.2,45.7,21.4,38.1,39.1,78.9,1
2022-11-15,N,Stanford,P12,San Diego St.,H,"L, 74-62",101.9,103.7,68,91.2,44.2,25,33.3,46.2,108.9,58.8,16.2,13,35.3,45.1,-10
2022-11-15,N,Colgate,Pat,Syracuse,A,"W, 80-68",120.7,93.8,67.2,119,63.6,22.3,33.3,11.9,101.2,45.2,19.3,35,24.2,94.8,10
2022-11-15,N,California,P12,UC San Diego,A,"L, 64-62",93.5,110.5,61.1,101.5,44.6,16.4,18.5,52.2,104.8,49.1,18,35.3,17.9,12.8,-9
2022-11-15,N,Quinnipiac,MAAC,Dartmouth,H,"W, 81-72",100,98.9,77.6,104.4,52.3,20.6,40,27.3,92.8,50.8,21.9,16.1,23.3,53.1,5
2022-11-15,N,Morgan St.,MEAC,Akron,A,"L, 65-59",92.9,94.7,65.1,90.7,42.2,23.1,42.5,10.9,99.9,41,16.9,43.5,44.3,44.4,-4
2022-11-15,N,Auburn,SEC,Winthrop,H,"W, 89-65",120.1,97.7,66.2,134.4,52.7,12.1,59.5,27.4,98.2,41,16.6,36.4,37.7,91.5,13
2022-11-15,N,Missouri,SEC,SIU Edwardsville,H,"W, 105-80",128.8,107.1,79.4,132.2,66,18.9,41.9,18.1,100.8,43.1,26.4,44.7,60.3,89.3,16
2022-11-15,N,Akron,MAC,Morgan St.,H,"W, 65-59",97.4,102.6,65.1,99.9,41,16.9,43.5,44.3,90.7,42.2,23.1,42.5,10.9,35.5,4
2022-11-15,N,Saint Louis,A10,Memphis,H,"W, 90-84",126.3,97.4,78.2,115.1,52.5,14.1,27.3,60,107.4,46.4,12.8,34.1,37.1,95.2,7
2022-11-15,N,Alabama,SEC,South Alabama,A,"W, 65-55",96.8,68.5,73.5,88.4,39.7,28.6,50,29.4,74.8,31,12.2,28.3,25.4,98.2,11
2022-11-15,N,Prairie View A&M,SWAC,Washington St.,H,"W, 70-59",116.5,81.2,65.8,106.4,53.3,13.7,24.2,9.8,89.6,39.8,22.8,18.8,65.9,98.4,13
2022-11-15,N,Wake Forest,ACC,Utah Valley,H,"W, 68-65",96.9,88.7,66.1,91.5,38.5,14.8,23.9,32.3,87.4,36,14.8,36,16,73.5,-2
2022-11-15,N,Alcorn St.,SWAC,Stephen F. Austin,A,"W, 69-60",99.6,85.1,70.9,97.3,49.1,28.2,46.9,42.6,84.6,43.5,29.6,35.9,42.6,85.9,3
2022-11-15,N,Rhode Island,A10,Stony Brook,H,"W, 74-64",103.5,109.3,66,112.2,51.8,15.2,30.3,33.3,97,41.7,10.6,16.7,42.6,34.9,4
2022-11-15,N,UC San Diego,BW,California,H,"W, 64-62",109.7,105,61.1,104.8,49.1,18,35.3,17.9,101.5,44.6,16.4,18.5,52.2,62.3,9
2022-11-15,N,Fordham,A10,New Hampshire,H,"W, 79-61",104.1,89.9,73.9,106.8,54.6,20.3,25,50,82.5,34.1,9.5,20.8,24.6,84.5,11
2022-11-15,N,Buffalo,MAC,Connecticut,A,"L, 84-64",93.9,93.2,77.2,82.9,47.4,23.3,15.2,22.4,108.8,49.2,19.4,36.8,44.4,52.1,-11
2022-11-15,N,North Carolina St.,ACC,FIU,H,"W, 107-74",124.8,94.2,82.6,129.5,61.2,15.7,37.8,22.4,89.6,56.8,26.6,18.8,25.4,96.2,17
2022-11-15,N,New Hampshire,AE,Fordham,A,"L, 79-61",86.7,108.3,73.9,82.5,34.1,9.5,20.8,24.6,106.8,54.6,20.3,25,50,7.2,-11
2022-11-15,N,West Virginia,B12,Morehead St.,H,"W, 75-57",102.1,87.7,70.9,105.8,50,14.1,25,25.8,80.4,44,28.2,20,30,85.2,6
2022-11-15,N,South Dakota St.,Sum,St. Bonaventure,N,"W, 66-62",85.9,83.4,78,84.6,46.6,32,18.5,68.2,79.5,44.4,23.1,17.9,12.7,58.4,1
2022-11-15,N,Syracuse,ACC,Colgate,H,"L, 80-68",96.4,113.9,67.2,101.2,45.2,19.3,35,24.2,119,63.6,22.3,33.3,11.9,12.7,-10
2022-11-15,N,FIU,CUSA,North Carolina St.,A,"L, 107-74",96.8,115.6,82.6,89.6,56.8,26.6,18.8,25.4,129.5,61.2,15.7,37.8,22.4,11.6,-17
2022-11-15,N,SIU Edwardsville,OVC,Missouri,A,"L, 105-80",101.5,115.7,79.4,100.8,43.1,26.4,44.7,60.3,132.2,66,18.9,41.9,18.1,18.3,-16
2022-11-15,N,Mississippi,SEC,Chattanooga,H,"W, 70-58",100.5,91.1,64.8,108,56.8,23.1,40,10.2,89.5,44.8,18.5,25,17.2,75.7,3
2022-11-15,N,La Salle,A10,Queens,H,"W, 72-60",96.5,86.5,69.9,103.1,46.3,12.9,28.6,19.1,85.9,45.9,34.4,40.6,36.7,77.9,6
2022-11-15,N,Winthrop,BSth,Auburn,A,"L, 89-65",110.8,121.7,66.2,98.2,41,16.6,36.4,37.7,134.4,52.7,12.1,59.5,27.4,25.4,-13
2022-11-15,N,Bradley,MVC,Eastern Michigan,H,"W, 89-61",108.6,91.5,72.5,122.7,59.5,12.4,24.2,50,84.1,46.6,22.1,18.2,15.5,87.9,12
2022-11-15,N,Dayton,A10,UNLV,A,"L, 60-52",85.1,79.7,68.8,75.6,45.5,34.9,27.6,34.1,87.2,46.1,24.7,23.5,43.1,67.8,3
2022-11-15,N,St. Bonaventure,A10,South Dakota St.,N,"L, 66-62",79.8,84.2,78,79.5,44.4,23.1,17.9,12.7,84.6,46.6,32,18.5,68.2,35.1,-1
2022-11-15,N,Utah Valley,WAC,Wake Forest,A,"L, 68-65",92,82.9,66.1,87.4,36,14.8,36,16,91.5,38.5,14.8,23.9,32.3,77,2
2022-11-15,N,Stonehill,NEC,Providence,A,"L, 100-76",110.1,122.8,72.2,105.3,62.1,19.4,14.3,12.1,138.6,61.2,16.6,51.6,31.3,22.2,-13
2022-11-15,N,Duke,ACC,Kansas,N,"L, 69-64",100.6,87,72.5,88.3,38.1,24.8,47.7,23.9,95.2,48.5,20.7,32.4,10.4,84.2,-2
2022-11-15,N,North Carolina,ACC,Gardner Webb,H,"W, 72-66",105.5,98,70.9,101.6,45,14.1,23.1,35,93.1,46.8,15.5,20.5,15.9,69.9,6
2022-11-15,N,UC Irvine,BW,Loyola Marymount,H,"W, 79-64",113.7,89.2,69.4,113.8,52.5,11.5,27.8,36.1,92.2,44.5,18.7,25.7,40,94.2,11
2022-11-15,N,North Dakota,Sum,Pacific,H,"L, 93-63",87.3,124.4,71.9,87.7,42.9,20.9,36.4,33.3,129.4,71.3,11.1,7.7,16.4,1.7,-14
2022-11-15,N,Marquette,BE,Purdue,A,"L, 75-70",121,95,66.4,105.4,45.1,12,34.1,9.7,112.9,56.2,9,20,32.1,94.2,2
2022-11-15,N,Queens,ASun,La Salle,A,"L, 72-60",85.9,101.6,69.9,85.9,45.9,34.4,40.6,36.7,103.1,46.3,12.9,28.6,19.1,12.7,-6
2022-11-15,N,Bucknell,Pat,Saint Peter's,A,"L, 82-71",114.4,140.1,61.8,114.8,61.4,17.8,25,56.8,132.6,60.2,14.6,45.2,12.5,8.9,-4
2022-11-15,N,Dartmouth,Ivy,Quinnipiac,A,"L, 81-72",93.9,103.3,77.6,92.8,50.8,21.9,16.1,23.3,104.4,52.3,20.6,40,27.3,25.1,-5
2022-11-15,C,Rice,CUSA,Middle Tennessee,A,"L, 81-46",74.2,119,65.6,70.1,41.9,27.4,10.3,37.2,123.5,63.4,15.2,29,32.1,0.4,-19
2022-11-15,N,Providence,BE,Stonehill,H,"W, 100-76",131.4,119.6,72.2,138.6,61.2,16.6,51.6,31.3,105.3,62.1,19.4,14.3,12.1,74.7,13
2022-11-15,N,Clemson,ACC,USC Upstate,H,"W, 81-70",124.1,113.6,65,124.6,63.6,13.8,25,32.7,107.7,58.7,18.5,15.4,47.8,73.4,9
2022-11-15,N,Montana St.,BSky,Oregon,A,"L, 81-51",84.5,100.2,69.2,73.7,35.6,20.2,21.6,15.3,117,63.3,20.2,34.4,21.7,12.3,-9
2022-11-15,N,Pacific,WCC,North Dakota,A,"W, 93-63",119.9,90.5,71.9,129.4,71.3,11.1,7.7,16.4,87.7,42.9,20.9,36.4,33.3,96.2,14
2022-11-15,C,Middle Tennessee,CUSA,Rice,H,"W, 81-46",113.6,71.7,65.6,123.5,63.4,15.2,29,32.1,70.1,41.9,27.4,10.3,37.2,99.5,19
2022-11-15,N,Howard,MEAC,James Madison,H,"L, 95-69",99.6,124.2,74.3,92.8,53.3,26.9,25.8,8.2,127.8,70.3,24.2,48.1,14.1,7.3,-9
2022-11-15,N,Fairfield,MAAC,Xavier,A,"L, 78-65",98.3,87.7,73.8,88.1,41.8,19,23.7,27.9,105.7,58.8,23,32.3,35.1,78.8,-1
2022-11-15,N,Michigan St.,B10,Kentucky,N,"W, 86-77",104.2,84.9,67.3,102.2,45.7,21.4,38.1,39.1,91.5,43.6,17.8,29.3,34.3,91.3,-1
2022-11-15,N,Appalachian St.,SB,Louisville,A,"W, 61-60",95.3,87.8,65.3,93.4,42.1,10.7,23.8,19,91.9,46.7,27.6,31.2,50,71.9,9
2022-11-15,N,Connecticut,BE,Buffalo,H,"W, 84-64",106.2,85.2,77.2,108.8,49.2,19.4,36.8,44.4,82.9,47.4,23.3,15.2,22.4,92.6,11
2022-11-15,N,Vermont,AE,USC,A,"L, 59-57",91.7,78.4,68.1,83.7,43.9,10.3,7.7,19.3,86.7,38.7,14.7,12.1,43.4,85.9,1
2022-11-15,N,SMU,Amer,New Mexico,H,"L, 84-63",84.8,99,76.4,82.4,40.6,19.6,25,29.7,109.9,56.8,13.1,16.1,42.4,14.4,-10
2022-11-15,N,Temple,Amer,Vanderbilt,H,"L, 89-87",119.2,111.8,64.5,119.9,60,16.5,29.7,38.3,122.6,60.7,12.4,30.6,15.7,67.7,0
2022-11-15,N,Eastern Michigan,MAC,Bradley,A,"L, 89-61",94.7,115.5,72.5,84.1,46.6,22.1,18.2,15.5,122.7,59.5,12.4,24.2,50,9.2,-12
2022-11-15,N,Oklahoma,B12,UNC Wilmington,H,"W, 74-53",125.3,88.8,61.1,121.1,63.3,19.6,30.8,32.7,86.7,36.8,11.5,25.6,28.1,98.1,15
2022-11-15,N,Drexel,CAA,Penn,H,"L, 64-59",82.2,93.3,68.1,86.7,43.1,14.7,23.8,34.5,94,46.4,17.6,15.2,25.5,18.7,-7
2022-11-15,N,USC Upstate,BSth,Clemson,A,"L, 81-70",114.4,117.8,65,107.7,58.7,18.5,15.4,47.8,124.6,63.6,13.8,25,32.7,41.7,-9
2022-11-15,N,Penn,Ivy,Drexel,A,"W, 64-59",100.8,86.3,68.1,94,46.4,17.6,15.2,25.5,86.7,43.1,14.7,23.8,34.5,85.7,7
2022-11-15,N,USC,P12,Vermont,H,"W, 59-57",85.9,81.5,68.1,86.7,38.7,14.7,12.1,43.4,83.7,43.9,10.3,7.7,19.3,64.7,-1
2022-11-15,N,Oral Roberts,Sum,Texas Southern,A,"W, 82-64",111.9,105.2,69.7,117.6,52.1,11.5,36.6,13.9,91.8,37.8,10,34.7,16.2,67.1,1
2022-11-15,N,Washington St.,P12,Prairie View A&M,A,"L, 70-59",89,121.6,65.8,89.6,39.8,22.8,18.8,65.9,106.4,53.3,13.7,24.2,9.8,2.7,-13
2022-11-15,N,Kansas,B12,Duke,N,"W, 69-64",104.9,82.5,72.5,95.2,48.5,20.7,32.4,10.4,88.3,38.1,24.8,47.7,23.9,94.1,2
2022-11-15,N,Northwestern,B10,Georgetown,A,"W, 75-63",107.4,95.6,67.7,110.7,50.7,22.1,45.5,17.9,93,48.2,19.2,20,17.5,79.3,3
2022-11-15,N,San Diego St.,MWC,Stanford,A,"W, 74-62",112.9,80.6,68,108.9,58.8,16.2,13,35.3,91.2,44.2,25,33.3,46.2,98,10
2022-11-15,N,Miami FL,ACC,Florida A&M,H,"W, 87-61",111.8,106.9,71,122.6,58.3,14.1,34.4,21.2,86,52.8,31,31,17,62.7,8
2022-11-15,N,Georgia St.,SB,Mercer,H,"W, 85-83",107.6,112.7,70.4,107.3,46.2,15.1,31.7,43.9,104.7,55.1,21.5,35.5,52.5,36.9,1
2022-11-15,N,South Alabama,SB,Alabama,H,"L, 65-55",83,83,73.5,74.8,31,12.2,28.3,25.4,88.4,39.7,28.6,50,29.4,50.2,-11
2022-11-15,N,James Madison,SB,Howard,A,"W, 95-69",123.1,96.9,74.3,127.8,70.3,24.2,48.1,14.1,92.8,53.3,26.9,25.8,8.2,94,9
2022-11-15,N,Oregon,P12,Montana St.,H,"W, 81-51",116.6,79.9,69.2,117,63.3,20.2,34.4,21.7,73.7,35.6,20.2,21.6,15.3,98.7,9
2022-11-15,N,Wisconsin,B10,Green Bay,H,"W, 56-45",83.3,84.7,61,91.8,37.7,23,40.5,35.8,73.8,36.4,14.8,9.1,52.3,45.2,8
2022-11-15,N,Alabama St.,SWAC,San Jose St.,A,"L, 70-57",97.3,99.1,63.8,89.4,38.5,7.8,27.3,21.3,109.8,55.9,20.4,46.2,51,44.6,-2
2022-11-15,N,Bowling Green,MAC,Wright St.,A,"L, 80-71",93,102.3,77.1,92.1,42.8,16.9,27.3,23.2,103.8,55.8,19.5,22.6,30,25.1,-4
2022-11-16,N,Texas Southern,SWAC,Houston,A,"L, 83-48",91.8,105.9,65.8,72.9,39.8,27.4,27.3,30.6,126.1,55.8,12.2,34.4,33.3,16.3,-15
2022-11-16,N,Kent St.,MAC,Arkansas Pine Bluff,H,"W, 94-68",104.6,92.9,84.6,111.2,55.6,24.8,27.6,72.2,80.4,46.7,23.7,10.3,26.7,79.7,11
2022-11-16,N,Cal St. Bakersfield,BW,Idaho,A,"W, 52-43",81.5,76.8,58.5,88.9,41.2,17.1,25,19.6,73.5,40.2,30.8,27.3,19.6,66.5,3
2022-11-16,N,BYU,WCC,Missouri St.,H,"W, 66-64",100.5,97.8,66.3,99.5,49.1,19.6,31.6,35.7,96.5,45.1,13.6,26.8,24.6,57.8,2
2022-11-16,N,Evansville,MVC,Southeast Missouri S,H,"L, 67-61",81.3,102.6,70.2,86.9,34.7,17.1,36.7,50,95.5,47.3,20,21.2,29.1,6.4,-6
2022-11-16,N,Fresno St.,MWC,San Francisco,H,"L, 67-60",89.1,92.1,69.1,86.8,36.4,15.9,28.2,33.9,97,46,20.3,32.5,19,40.4,-2
2022-11-16,N,Southeast Missouri S,OVC,Evansville,A,"W, 67-61",94.6,96.4,70.2,95.5,47.3,20,21.2,29.1,86.9,34.7,17.1,36.7,50,44.7,6
2022-11-16,N,Missouri St.,MVC,BYU,A,"L, 66-64",104,94.6,66.3,96.5,45.1,13.6,26.8,24.6,99.5,49.1,19.6,31.6,35.7,74.8,-2
2022-11-16,N,San Francisco,WCC,Fresno St.,A,"W, 67-60",100.9,87.7,69.1,97,46,20.3,32.5,19,86.8,36.4,15.9,28.2,33.9,83.3,2
2022-11-16,N,Columbia,Ivy,Delaware St.,H,"W, 70-65",91.6,102.2,72,97.2,48,22.2,27.3,64,90.2,57.1,29.2,28.6,10.7,22,6
2022-11-16,N,VCU,A10,Arizona St.,N,"L, 63-59",98,87.9,68.3,86.4,41.2,23.4,23.5,35.3,92.3,40.5,17.6,28.9,36.2,77.7,4
2022-11-16,N,Oakland,Horz,Toledo,A,"L, 112-90",110.6,124.9,77.9,115.6,51.3,7.7,21.7,21.3,143.8,72.2,11.6,35.5,20.8,19.8,-16
2022-11-16,N,Charleston Southern,BSth,Tulane,A,"L, 99-79",114.4,121.5,74.2,106.4,50,18.9,36.4,12.3,133.3,61.1,8.1,30.3,15.3,33.3,-5
2022-11-16,N,Nebraska Omaha,Sum,Ball St.,H,"L, 71-61",79.6,96.1,73.1,83.4,40,23.2,34.1,35,97.1,46.2,23.2,29.4,52.8,10.3,-7
2022-11-16,N,Arkansas,SEC,South Dakota St.,H,"W, 71-56",88.5,71.2,79.3,89.5,51.6,25.2,25.7,24.6,70.6,34.8,25.2,15.4,35.7,92.4,10
2022-11-16,N,Chicago St.,ind,Valparaiso,H,"W, 87-74",128.3,114.4,67.4,129,65.2,19.3,25,60.9,109.8,50,11.9,28.1,30,78.8,14
2022-11-16,N,Tennessee,SEC,Florida Gulf Coast,H,"W, 81-50",116.4,83.2,65,124.6,57.1,16.9,40.6,75.5,76.9,35.9,26.1,22.2,47.8,97.9,12
2022-11-16,N,Ohio St.,B10,Eastern Illinois,H,"W, 65-43",78.8,69.2,73.8,88,47.4,23,26.3,31.6,58.2,28.1,17.6,17.6,23.4,81.6,9
2022-11-16,N,Seton Hall,BE,Iowa,H,"L, 83-67",97.1,102,69.9,95.8,41.8,22.9,41.9,19.4,118.7,47.4,11.4,37.1,56.9,36.4,-6
2022-11-16,N,Southern,SWAC,Saint Mary's,A,"L, 72-54",100.7,101.4,63.9,84.6,44.2,18.8,15.2,19.2,112.7,53.8,23.5,43.8,39.6,47.8,-9
2022-11-16,N,UAB,CUSA,Presbyterian,H,"W, 92-61",110.2,96,75.9,121.3,60.7,15.8,32.3,42.6,80.4,37.7,25,32.6,39.3,83,11
2022-11-16,N,Cincinnati,Amer,Northern Kentucky,A,"L, 64-51",86.1,99.8,62.9,81.1,39,17.5,29.3,22,101.7,57.4,22.3,23.1,29.8,15.4,-5
2022-11-16,N,Florida Gulf Coast,ASun,Tennessee,A,"L, 81-50",97.7,110.3,65,76.9,35.9,26.1,22.2,47.8,124.6,57.1,16.9,40.6,75.5,19.9,-12
2022-11-16,N,Notre Dame,ACC,Southern Indiana,H,"W, 82-70",110.2,100.2,70.2,116.8,55.7,14.2,15.6,52.8,99.7,46.8,10,21.1,23.8,74.9,12
2022-11-16,N,Tulane,Amer,Charleston Southern,H,"W, 99-79",115.1,112.3,74.2,133.3,61.1,8.1,30.3,15.3,106.4,50,18.9,36.4,12.3,57.2,5
