Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
2022-11-07,N,Clemson,ACC,The Citadel,H,"W, 80-69",106.2,109.4,69.1,115.7,51.5,11.6,34.2,27.7,99.8,52.7,18.8,14.7,21.4,41.6,6
2022-11-07,N,Missouri,SEC,Southern Indiana,H,"W, 97-91",113.3,110.4,81.8,118.5,52.7,13.4,40,38.4,111.2,60.8,26.9,31.4,40,57.4,12
2022-11-07,N,New Orleans,Slnd,Butler,A,"L, 89-53",76.5,111.4,79.4,66.8,47.1,37.8,20,15.7,112.1,59.4,18.9,29,32.8,1.3,-15
2022-11-07,N,Baylor,B12,Mississippi Valley S,H,"W, 117-53",129.3,85.4,79.1,147.9,61.1,11.4,52.4,59.7,67,35.7,31.6,22.5,59.2,99.2,26
2022-11-07,N,Nevada,MWC,Utah Tech,H,"W, 84-71",109.6,97,73.6,114.1,55.2,16.3,29,44.8,96.5,44.8,21.7,30.8,43.1,80.3,4
2022-11-07,N,Utah Tech,WAC,Nevada,A,"L, 84-71",107.2,104.8,73.6,96.5,44.8,21.7,30.8,43.1,114.1,55.2,16.3,29,44.8,56.5,-4
2022-11-07,N,Morgan St.,MEAC,Xavier,A,"L, 96-73",95.8,102,81.3,89.8,40.7,22.1,37,31.4,118.1,55.6,24.6,60,58.1,32.8,-13
2022-11-07,N,Seattle,WAC,UC San Diego,A,"W, 85-71",126.7,105.8,66.3,128.3,56.9,10.6,36.8,27.7,107.1,51.9,13.6,20.7,39.6,88.8,10
2022-11-07,N,Butler,BE,New Orleans,H,"W, 89-53",99.8,76,79.4,112.1,59.4,18.9,29,32.8,66.8,47.1,37.8,20,15.7,95.9,15
2022-11-07,N,Arizona St.,P12,Tarleton St.,H,"W, 62-59",80.3,79.3,77.5,80,38.7,27.1,40,46.8,76.1,36.4,21.9,20.9,58.2,53.4,-3
2022-11-07,N,William & Mary,CAA,Navy,H,"L, 74-59",100.3,119.5,61.8,95.5,45.6,16.2,28.6,17.5,119.7,56.5,16.2,40.6,9.7,11.9,-2
2022-11-07,N,Stanford,P12,Pacific,H,"W, 88-78",113.8,100.4,75.4,116.7,68.8,21.2,21.4,70.8,103.4,50,15.9,23.1,20.9,81,8
2022-11-07,N,Jackson St.,SWAC,Abilene Christian,A,"L, 65-56",71.9,86.9,75.1,74.6,41.8,28,22.2,25.5,86.6,47.4,20,15.4,35.1,10.2,-9
2022-11-07,N,Virginia Tech,ACC,Delaware St.,H,"W, 95-57",123.6,98.8,69.4,136.9,66.7,14.4,39.3,33.3,82.1,41.9,17.3,18.4,11.3,92.9,18
2022-11-07,N,Idaho,BSky,Denver,A,"L, 68-63",85.4,98,71.4,88.2,45.9,19.6,21.6,18,95.2,53.1,19.6,24.1,68.8,17,-3
2022-11-07,N,Gonzaga,WCC,North Florida,H,"W, 104-63",116.4,78.3,80,130,67.9,17.5,33.3,23.9,78.7,42.4,27.5,25.6,37.3,99,22
2022-11-07,N,George Mason,A10,Auburn,A,"L, 70-52",82.2,91.3,70.3,74,43.8,27,27.8,14.3,99.6,36.6,12.8,44.9,40.8,23,-12
2022-11-07,N,Rhode Island,A10,Quinnipiac,H,"L, 67-62",82.6,93.6,73.3,84.6,38.3,25.9,40.4,48.3,91.4,46.8,20.5,36.4,40.3,19.2,-4
2022-11-07,N,Toledo,MAC,Valparaiso,H,"W, 85-70",115.2,95.1,74.7,113.8,51.4,10.7,30.8,22.9,93.7,53.2,21.4,15.2,9.7,90,19
2022-11-07,N,Niagara,MAAC,Maryland,A,"L, 71-49",98.2,109.7,57.2,85.6,40,21,38.2,14.5,124.1,57.8,17.5,42.3,27.5,21.8,-9
2022-11-07,N,Northeastern,CAA,Boston University,A,"L, 72-63",88.9,108.3,70.6,89.2,43.9,24.1,23.5,53.1,102,45.2,15.6,32.6,40.3,9.4,-4
2022-11-07,N,Delaware St.,MEAC,Virginia Tech,A,"L, 95-57",87.6,121.2,69.4,82.1,41.9,17.3,18.4,11.3,136.9,66.7,14.4,39.3,33.3,2.3,-18
2022-11-07,N,St. Bonaventure,A10,St. Francis PA,H,"W, 71-58",97.8,97.9,63.7,111.4,49.2,11,32.4,33.9,91,42.3,18.8,28.6,40.4,49.7,5
2022-11-07,N,Eastern Washington,BSky,Santa Clara,A,"L, 84-72",94.7,92.5,82.4,87.3,46.1,19.4,14.6,31.2,101.9,43.3,12.1,30.6,32,56.6,-3
2022-11-07,N,Pittsburgh,ACC,Tennessee Martin,H,"W, 80-58",93.6,79,78.7,101.7,44.4,19.1,38.3,32.4,73.7,34.7,21.6,26.7,38.7,87.5,10
2022-11-07,N,Quinnipiac,MAAC,Rhode Island,A,"W, 67-62",94.3,88.9,73.3,91.4,46.8,20.5,36.4,40.3,84.6,38.3,25.9,40.4,48.3,66.3,4
2022-11-07,N,Wichita St.,Amer,Central Arkansas,H,"W, 79-55",96.5,78.9,75.1,105.2,48.4,13.3,29.7,39.1,73.3,32.9,18.6,30.8,12.3,91.1,15
2022-11-07,N,Sacramento St.,BSky,UCLA,A,"L, 76-50",93.2,98.3,67.7,73.8,36.4,31,38.5,30.9,112.2,57.8,13.3,29,7.8,35.1,-10
2022-11-07,N,Chicago St.,ind,Northwestern,A,"L, 85-54",90.4,110.5,70.9,76.2,32.5,16.9,28.6,28.6,119.9,51.8,19.8,37.1,57.1,9.1,-13
2022-11-07,N,Hofstra,CAA,Princeton,A,"W, 83-77",116.3,106.7,71.2,116.6,59.8,11.2,15.6,9.1,108.2,53.4,14,23.5,33.9,73,-4
2022-11-07,N,San Diego St.,MWC,Cal St. Fullerton,H,"W, 80-57",118.2,85,69.5,115.1,61.5,17.3,17.9,44.2,82,43.1,25.9,24.2,33.3,97.8,11
2022-11-07,N,Kent St.,MAC,Northern Kentucky,A,"W, 79-57",124.2,92.5,64,123.4,66.4,17.2,28.1,29.1,89,34.2,18.7,43.2,36.7,96.7,9
2022-11-07,N,Fairleigh Dickinson,NEC,Loyola Chicago,A,"L, 88-82",101.7,109,71.7,101.7,44.7,18.6,39.2,30.7,109.1,52.2,22.3,40.5,38.8,31.1,-2
2022-11-07,N,Massachusetts,A10,Central Connecticut,H,"W, 94-67",110.5,107.2,73.3,128.3,59.9,17.7,44.4,16.9,91.4,47.7,17.7,22,9.1,58.8,7
2022-11-07,N,College of Charlesto,CAA,Chattanooga,H,"W, 85-78",108.5,101.1,75.4,112.7,52.4,19.9,36.8,43.5,103.4,56.8,27.8,38.2,28.8,69.4,5
2022-11-07,N,Southeast Missouri S,OVC,South Florida,A,"W, 64-61",92.7,86.4,69.7,91.8,44.6,21.5,26.8,39.3,87.5,50,22.9,22.2,36.5,69,0
2022-11-07,N,Texas A&M Commerce,Slnd,SMU,A,"L, 77-60",90.3,107.1,70.3,85.4,38.6,11.4,28.3,24.2,109.6,52.6,17.1,30,39.7,12.3,-7
2022-11-07,N,Florida A&M,SWAC,Oregon,A,"L, 80-45",77.4,99.9,68.1,66.1,40.6,30.9,16.1,16.7,117.6,50.8,14.7,46.2,44.4,5,-11
2022-11-07,N,Iona,MAAC,Penn,H,"W, 78-50",104.3,73.3,70.2,111.2,46.1,7.1,34,14.5,71.3,35.5,25.7,28.2,30.9,98.3,10
2022-11-07,N,Vanderbilt,SEC,Memphis,H,"L, 76-67",105.4,109.7,66.1,101.4,51.8,19.7,27.8,26.8,115,55.7,19.7,33.3,35.8,38.8,-11
2022-11-07,N,Buffalo,MAC,Colgate,H,"W, 88-87",100.7,97.2,84.6,104,58.5,15.4,8.8,33.8,102.8,58,20.1,12,51.8,59.9,0
2022-11-07,N,Arizona,P12,Nicholls St.,H,"W, 117-75",125,93.7,88.2,132.6,82.1,27.2,33.3,75.5,85,45.1,18.1,22.9,30.6,96.5,21
